1.066,0.8129891
1.663,0.8741198
2.175,0.8618936
2.73,0.866784
3.242,0.8790102
3.754,0.866784
4.223,0.8790102
4.863,0.1283255
4.863,0.6271518
5.29,0.1063185
5.29,0.6564946
7.039,0.8741198
7.167,0.2897105
7.509,0.28482
7.637,0.7102895
7.765,0.133216
8.063,0.2285798
8.191,0.7885368
8.319,0.2359155
8.575,0.2310251
8.703,0.7640845
8.959,0.9548122
8.959,0.05741392
11.178,0.8545579
11.562,0.2016823
11.775,0.71518
12.031,0.4388693
12.287,0.9792645
12.543,0.01584507
12.799,0.6149257
13.013,0.2725939
13.269,0.8912363
13.866,0.8741198
13.866,0.1112089
14.421,0.6051447
14.677,0.3435055
14.975,0.7518584
15.061,0.3655125
15.231,0.7420775
15.402,0.262813
15.743,0.05496871
15.743,0.9572574
15.999,0.02318074
15.999,0.9548122
16.255,0.9230242
16.255,0.05985915
16.469,0.07453052
16.469,0.9010172
16.767,0.08186619
16.767,0.8912363
17.066,0.6100352
17.194,0.3043818
17.279,0.6662754
17.45,0.2505868
17.834,0.01339985
17.834,0.996381
18.303,0.3214985
18.303,0.7102895
18.858,0.06230439
18.858,0.996381
19.37,0.3068271
19.37,0.7567489
19.498,0.9645931
19.882,0.01095461
20.138,0.7029538
20.437,0.3190532
20.65,0.9694836
20.906,0.01339985
21.205,0.7665297
21.418,0.2774844
21.631,0.9645931
22.442,0.9719288
22.442,0.05741392
22.741,0.05985915
22.741,0.9132434
23.039,0.6980634
23.295,0.2946009
23.381,0.71518
23.509,0.3117175
23.637,0.9988263
24.063,0
24.319,0.6882825
24.533,0.414417
24.831,0.522007
24.959,0.1283255
25.087,0.9205791
25.258,0.2774844
25.514,0.316608
25.77,0.6662754
26.111,0.008509391
26.367,0.9474765
26.709,0.3581768
26.837,0.6564946
27.178,0
27.477,0.93036
27.605,0.2921557
27.733,0.6589398
28.33,1
29.269,1
